City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,kodiak,90,US,1566490405,83,39.95,-94.76,75.99,8.05
88,kutum,100,SD,1566490398,47,14.2,24.66,78.45,6.17
89,wuda,20,CN,1566490966,38,39.5,106.72,69.63,6.67
90,funadhoo,100,MV,1566490966,78,6.15,73.27,82.41,14.07
91,havelock,20,US,1566490966,59,34.88,-76.9,91.99,11.41
92,vuktyl,100,RU,1566490966,71,63.86,57.31,62.79,2.73
93,east london,0,ZA,1566490888,42,-33.02,27.91,68.0,2.24
94,rhyl,40,GB,1566490967,72,53.32,-3.49,70.0,19.46
95,bambous virieux,20,MU,1566490967,83,-20.34,57.76,70.0,4.61
96,lompoc,40,US,1566490843,77,34.64,-120.46,81.0,3.36
97,saurimo,0,AO,1566490967,22,-9.66,20.4,86.0,8.05
98,abu dhabi,0,AE,1566490717,71,24.47,54.37,93.2,6.93
99,faya,20,SA,1566490968,73,18.39,42.45,75.2,9.17
100,lahij,0,YE,1566490968,47,13.06,44.88,90.87,5.77
101,ribeira grande,20,PT,1566490968,83,38.52,-28.7,75.2,4.7
102,oussouye,75,SN,1566490968,88,12.49,-16.54,80.6,11.41
103,georgetown,40,GY,1566490885,70,6.8,-58.16,87.8,13.87
104,matara,55,BI,1566490969,57,-3.48,29.48,60.99,5.14
105,nanning,20,CN,1566490969,88,22.83,108.3,78.8,2.24
106,arraial do cabo,75,BR,1566490969,88,-22.97,-42.02,68.0,11.41
107,avera,1,US,1566490886,52,33.19,-82.53,91.99,8.05
108,quartucciu,20,IT,1566490969,83,39.25,9.18,80.6,14.99
109,tuktoyaktuk,75,CA,1566490969,93,69.44,-133.03,39.2,2.24
110,polunochnoye,100,RU,1566490970,85,60.87,60.43,60.63,2.37
111,leshukonskoye,100,RU,1566490892,88,64.9,45.76,57.75,4.74
112,emerald,0,AU,1566490376,41,-23.53,148.16,57.2,9.17
113,atbasar,66,KZ,1566490970,84,51.81,68.36,59.55,6.69
114,acapulco,90,MX,1566490970,74,16.86,-99.88,82.4,4.7
115,lata,68,IN,1566490425,92,30.78,78.62,41.01,2.51
116,atar,1,MR,1566490970,17,20.52,-13.05,100.4,9.17
117,san patricio,46,PY,1566490970,75,-26.98,-56.83,59.73,6.55
118,sur,0,OM,1566490428,53,22.57,59.53,87.99,15.52
119,nouadhibou,0,MR,1566490971,57,20.93,-17.03,80.6,12.75
120,namibe,20,AO,1566490971,73,-15.19,12.15,71.6,11.41
121,lac du bonnet,2,CA,1566490971,63,50.25,-96.06,62.01,1.01
122,esperance,0,AU,1566490971,33,-33.86,121.89,59.0,18.34
123,yatou,75,CM,1566490971,88,3.63,9.81,80.6,4.7
124,tocopilla,32,CL,1566490896,83,-22.09,-70.2,55.23,4.05
125,dubuque,1,US,1566490799,60,42.5,-90.66,73.99,8.05
126,ekibastuz,99,KZ,1566490972,48,51.72,75.32,65.31,12.64
127,qaanaaq,100,GL,1566490972,72,77.48,-69.36,34.35,9.37
128,severo-kurilsk,0,RU,1566490972,90,50.68,156.12,48.39,4.41
129,semkhoz,0,RU,1566490972,72,56.28,38.07,68.0,11.18
130,hobyo,66,SO,1566490381,65,5.35,48.53,81.15,31.14
131,bluff,0,AU,1566490972,55,-23.58,149.07,53.25,4.47
132,gravelbourg,31,CA,1566490807,46,49.88,-106.56,69.45,15.66
133,lorengau,100,PG,1566490973,84,-2.02,147.27,78.45,8.5
134,souillac,0,FR,1566490973,22,45.6,-0.6,87.01,10.29
135,sungairaya,100,ID,1566490973,82,0.7,108.9,82.23,16.15
136,koboko,16,UG,1566490974,92,3.41,30.96,71.97,2.21
137,hofn,75,IS,1566490841,76,64.25,-15.21,57.2,3.36
138,sinnamary,3,GF,1566490848,76,5.38,-52.96,82.77,13.91
139,puerto colombia,20,CO,1566490869,70,10.99,-74.96,87.8,2.24
140,mahebourg,20,MU,1566490974,83,-20.41,57.7,70.0,4.61
141,oktyabrskoye,20,RU,1566490406,93,56.73,85.44,57.0,4.47
142,norman wells,40,CA,1566490817,93,65.28,-126.83,44.6,6.93
143,maniitsoq,55,GL,1566490690,88,65.42,-52.9,42.81,8.88
144,geraldton,90,CA,1566490773,82,49.72,-86.95,55.4,4.7
145,arman,100,RU,1566490825,92,59.7,150.17,55.59,1.03
146,fare,36,PF,1566490975,78,-16.7,-151.02,77.91,12.46
147,port alfred,0,ZA,1566490975,58,-33.59,26.89,68.0,1.99
148,belyy yar,0,RU,1566490975,82,53.6,91.39,64.4,4.47
149,beringovskiy,2,RU,1566490416,79,63.05,179.32,42.63,4.94
150,portland,40,US,1566490969,58,43.66,-70.25,86.0,6.93
151,tekeli,88,KZ,1566490976,39,44.86,78.76,73.95,12.08
152,fort nelson,20,CA,1566490976,62,58.81,-122.69,51.8,5.82
153,cape town,0,ZA,1566490976,82,-33.93,18.42,66.0,11.41
154,vila velha,20,BR,1566490783,51,-3.71,-38.6,86.0,19.46
155,sobolevo,41,RU,1566490874,74,54.43,31.9,66.39,7.2
156,port macquarie,90,AU,1566490976,54,-31.43,152.91,55.99,8.05
157,port-cartier,75,CA,1566490976,93,50.03,-66.88,64.4,18.34
158,la palma,0,CO,1566490977,42,5.36,-74.39,84.21,3.49
159,ponta delgada,75,PT,1566490977,94,37.73,-25.67,73.4,11.41
160,iracoubo,18,GF,1566490977,58,5.48,-53.21,88.35,7.25
161,castro,90,CL,1566490977,100,-42.48,-73.76,48.2,1.12
162,praya,40,ID,1566490977,83,-8.71,116.27,75.2,10.29
163,beloha,0,MG,1566490436,66,-25.17,45.06,64.77,16.75
164,ahmadnagar,1,IN,1566490978,77,19.09,74.75,75.39,11.36
165,faanui,66,PF,1566490978,76,-16.48,-151.75,78.09,14.65
166,aksu,40,KZ,1566490978,71,52.04,76.93,57.2,6.71
167,rockland,75,CA,1566490978,64,45.55,-75.29,73.99,8.05
168,sawakin,0,SD,1566490839,37,19.1,37.33,96.8,10.29
169,valparaiso,75,US,1566490857,61,41.47,-87.06,80.01,4.7
170,lyubim,100,RU,1566490979,73,58.36,40.69,62.61,8.61
171,sitka,100,US,1566490831,93,37.17,-99.65,73.99,8.01
172,luderitz,0,NA,1566490979,25,-26.65,15.16,84.2,2.24
173,moroni,0,GR,1566490979,69,35.09,24.92,86.0,18.34
174,vao,34,EE,1566490979,62,59.1,26.19,64.77,11.81
175,maralal,3,KE,1566490980,62,1.1,36.7,72.69,6.67
176,tasiilaq,75,GL,1566490980,45,65.61,-37.64,46.4,14.99
177,kruisfontein,0,ZA,1566490980,43,-34.0,24.73,68.37,8.81
178,saint-ambroise,40,CA,1566490981,49,48.56,-71.32,73.4,17.22
179,petropavlovsk-kamchatskiy,75,RU,1566490981,100,53.05,158.65,51.8,2.24
180,khatanga,21,RU,1566490981,72,71.98,102.47,53.61,8.93
181,nanortalik,75,GL,1566490982,90,60.14,-45.24,40.47,7.81
182,jinchang,100,CN,1566490982,69,38.52,102.19,59.01,6.76
183,port augusta,0,AU,1566490982,86,-32.49,137.76,41.0,4.7
184,saint anthony,1,US,1566490982,45,43.97,-111.68,66.2,12.75
185,itamaraca,40,BR,1566490983,74,-7.75,-34.83,82.4,11.41
186,baykit,84,RU,1566490440,78,61.68,96.39,50.19,2.46
187,half moon bay,90,US,1566490814,83,37.46,-122.43,73.0,5.82
188,katherine,0,AU,1566490983,38,-14.47,132.26,60.8,10.29
189,longyearbyen,75,NO,1566490983,65,78.22,15.63,41.0,3.36
